DATE, readings.size(), flightpath.size()
18-12-2020, 25, 150
19-12-2020, 33, 101
20-12-2020, 33, 124
21-12-2020, 33, 115
22-12-2020, 33, 104
23-12-2020, 33, 83
24-12-2020, 33, 104
25-12-2020, 33, 88
26-12-2020, 33, 117
27-12-2020, 33, 112
28-12-2020, 33, 97
01-01-2021, 33, 114
02-01-2021, 33, 57
03-01-2021, 33, 110
04-01-2021, 33, 111
05-01-2021, 33, 99
06-01-2021, 33, 117
07-01-2021, 33, 113
08-01-2021, 33, 98
09-01-2021, 33, 150
10-01-2021, 33, 98
11-01-2021, 33, 108
12-01-2021, 33, 103
13-01-2021, 33, 114
14-01-2021, 33, 90
15-01-2021, 33, 114
16-01-2021, 33, 116
17-01-2021, 33, 104
18-01-2021, 33, 102
19-01-2021, 33, 94
20-01-2021, 33, 97
21-01-2021, 33, 99
22-01-2021, 33, 104
23-01-2021, 33, 87
24-01-2021, 33, 137
25-01-2021, 33, 122
26-01-2021, 33, 108
27-01-2021, 33, 93
28-01-2021, 33, 101
01-02-2021, 33, 116
02-02-2021, 33, 93
03-02-2021, 33, 114
04-02-2021, 33, 112
05-02-2021, 33, 112
06-02-2021, 33, 103
07-02-2021, 33, 104
08-02-2021, 33, 90
09-02-2021, 33, 105
10-02-2021, 33, 113
11-02-2021, 33, 96
12-02-2021, 33, 93
13-02-2021, 33, 113
14-02-2021, 33, 104
15-02-2021, 33, 103
16-02-2021, 33, 95
17-02-2021, 20, 150
18-02-2021, 33, 101
19-02-2021, 33, 115
20-02-2021, 33, 97
21-02-2021, 33, 99
22-02-2021, 33, 109
23-02-2021, 33, 95
24-02-2021, 33, 86
25-02-2021, 33, 113
26-02-2021, 33, 96
27-02-2021, 33, 100
28-02-2021, 33, 95
01-03-2021, 33, 116
02-03-2021, 33, 136
03-03-2021, 33, 109
04-03-2021, 33, 120
05-03-2021, 33, 110
06-03-2021, 33, 93
07-03-2021, 33, 87
08-03-2021, 33, 104
09-03-2021, 33, 114
10-03-2021, 33, 150
11-03-2021, 33, 111
12-03-2021, 33, 98
13-03-2021, 33, 112
14-03-2021, 33, 121
15-03-2021, 33, 96
16-03-2021, 33, 123
17-03-2021, 33, 91
18-03-2021, 33, 99
19-03-2021, 33, 93
20-03-2021, 25, 150
21-03-2021, 33, 101
22-03-2021, 33, 124
23-03-2021, 33, 115
24-03-2021, 33, 104
25-03-2021, 33, 83
26-03-2021, 33, 104
27-03-2021, 33, 88
28-03-2021, 33, 117
01-04-2021, 33, 98
02-04-2021, 33, 109
03-04-2021, 33, 114
04-04-2021, 33, 57
05-04-2021, 33, 110
06-04-2021, 33, 111
07-04-2021, 33, 99
08-04-2021, 33, 117
09-04-2021, 33, 113
10-04-2021, 33, 98
11-04-2021, 33, 150
12-04-2021, 33, 98
13-04-2021, 33, 108
14-04-2021, 33, 103
15-04-2021, 33, 114
16-04-2021, 33, 90
17-04-2021, 33, 114
18-04-2021, 33, 116
19-04-2021, 33, 104
20-04-2021, 33, 102
21-04-2021, 33, 94
22-04-2021, 33, 97
23-04-2021, 33, 99
24-04-2021, 33, 104
25-04-2021, 33, 87
26-04-2021, 33, 137
27-04-2021, 33, 122
28-04-2021, 33, 108
01-05-2021, 33, 107
02-05-2021, 33, 78
03-05-2021, 33, 103
04-05-2021, 33, 116
05-05-2021, 33, 93
06-05-2021, 33, 114
07-05-2021, 33, 112
08-05-2021, 33, 112
09-05-2021, 33, 103
10-05-2021, 33, 104
11-05-2021, 33, 90
12-05-2021, 33, 105
13-05-2021, 33, 113
14-05-2021, 33, 96
15-05-2021, 33, 93
16-05-2021, 33, 113
17-05-2021, 33, 104
18-05-2021, 33, 103
19-05-2021, 33, 95
20-05-2021, 20, 150
21-05-2021, 33, 101
22-05-2021, 33, 115
23-05-2021, 33, 97
24-05-2021, 33, 99
25-05-2021, 33, 109
26-05-2021, 33, 95
27-05-2021, 33, 86
28-05-2021, 33, 113
01-06-2021, 33, 116
02-06-2021, 33, 136
03-06-2021, 33, 109
04-06-2021, 33, 120
05-06-2021, 33, 110
06-06-2021, 33, 93
07-06-2021, 33, 87
08-06-2021, 33, 104
09-06-2021, 33, 114
10-06-2021, 33, 150
11-06-2021, 33, 111
12-06-2021, 33, 98
13-06-2021, 33, 112
14-06-2021, 33, 121
15-06-2021, 33, 96
16-06-2021, 33, 123
17-06-2021, 33, 91
18-06-2021, 33, 99
19-06-2021, 33, 93
20-06-2021, 25, 150
21-06-2021, 33, 101
22-06-2021, 33, 124
23-06-2021, 33, 115
24-06-2021, 33, 104
25-06-2021, 33, 83
26-06-2021, 33, 104
27-06-2021, 33, 88
28-06-2021, 33, 117
01-07-2021, 33, 89
02-07-2021, 33, 98
03-07-2021, 33, 109
04-07-2021, 33, 114
05-07-2021, 33, 57
06-07-2021, 33, 110
07-07-2021, 33, 111
08-07-2021, 33, 99
09-07-2021, 33, 117
10-07-2021, 33, 113
11-07-2021, 33, 98
12-07-2021, 33, 150
13-07-2021, 33, 98
14-07-2021, 33, 108
15-07-2021, 33, 103
16-07-2021, 33, 114
17-07-2021, 33, 90
18-07-2021, 33, 114
19-07-2021, 33, 116
20-07-2021, 33, 104
21-07-2021, 33, 102
22-07-2021, 33, 94
23-07-2021, 33, 97
24-07-2021, 33, 99
25-07-2021, 33, 104
26-07-2021, 33, 87
27-07-2021, 33, 137
28-07-2021, 33, 122
01-08-2021, 33, 107
02-08-2021, 33, 78
03-08-2021, 33, 103
04-08-2021, 33, 116
05-08-2021, 33, 93
06-08-2021, 33, 114
07-08-2021, 33, 112
08-08-2021, 33, 112
09-08-2021, 33, 103
10-08-2021, 33, 104
11-08-2021, 33, 90
12-08-2021, 33, 105
13-08-2021, 33, 113
14-08-2021, 33, 96
15-08-2021, 33, 93
16-08-2021, 33, 113
17-08-2021, 33, 104
18-08-2021, 33, 103
19-08-2021, 33, 95
20-08-2021, 20, 150
21-08-2021, 33, 101
22-08-2021, 33, 115
23-08-2021, 33, 97
24-08-2021, 33, 99
25-08-2021, 33, 109
26-08-2021, 33, 95
27-08-2021, 33, 86
28-08-2021, 33, 113
01-09-2021, 33, 116
02-09-2021, 33, 136
03-09-2021, 33, 109
04-09-2021, 33, 120
05-09-2021, 33, 110
06-09-2021, 33, 93
07-09-2021, 33, 87
08-09-2021, 33, 104
09-09-2021, 33, 114
10-09-2021, 33, 150
11-09-2021, 33, 111
12-09-2021, 33, 98
13-09-2021, 33, 112
14-09-2021, 33, 121
15-09-2021, 33, 96
16-09-2021, 33, 123
17-09-2021, 33, 91
18-09-2021, 33, 99
19-09-2021, 33, 93
20-09-2021, 25, 150
21-09-2021, 33, 101
22-09-2021, 33, 124
23-09-2021, 33, 115
24-09-2021, 33, 104
25-09-2021, 33, 83
26-09-2021, 33, 104
27-09-2021, 33, 88
28-09-2021, 33, 117
01-10-2021, 33, 89
02-10-2021, 33, 98
03-10-2021, 33, 109
04-10-2021, 33, 114
05-10-2021, 33, 57
06-10-2021, 33, 110
